Date,Vehicle type,Number of spaces
02/07/2021,Recycling centre A (cars / small vans),320
02/07/2021,Recycling centre A (medium / large vans),17
02/07/2021,Recycling centre A (pedestrian / bicycle),15
03/07/2021,Recycling centre A (cars / small vans),320
03/07/2021,Recycling centre A (medium / large vans),17
03/07/2021,Recycling centre A (pedestrian / bicycle),15
06/07/2021,Recycling centre A (cars / small vans),320
06/07/2021,Recycling centre A (medium / large vans),17
06/07/2021,Recycling centre A (pedestrian / bicycle),15
07/07/2021,Recycling centre A (cars / small vans),320
07/07/2021,Recycling centre A (medium / large vans),17
07/07/2021,Recycling centre A (pedestrian / bicycle),15
08/07/2021,Recycling centre A (cars / small vans),320
08/07/2021,Recycling centre A (medium / large vans),17
08/07/2021,Recycling centre A (pedestrian / bicycle),15
09/07/2021,Recycling centre A (cars / small vans),320
09/07/2021,Recycling centre A (medium / large vans),17
09/07/2021,Recycling centre A (pedestrian / bicycle),15
10/07/2021,Recycling centre A (cars / small vans),320
10/07/2021,Recycling centre A (medium / large vans),17
10/07/2021,Recycling centre A (pedestrian / bicycle),15
13/07/2021,Recycling centre A (cars / small vans),320
13/07/2021,Recycling centre A (medium / large vans),17
13/07/2021,Recycling centre A (pedestrian / bicycle),15
14/07/2021,Recycling centre A (cars / small vans),320
14/07/2021,Recycling centre A (medium / large vans),17
14/07/2021,Recycling centre A (pedestrian / bicycle),15
15/07/2021,Recycling centre A (cars / small vans),320
15/07/2021,Recycling centre A (medium / large vans),17
15/07/2021,Recycling centre A (pedestrian / bicycle),15
16/07/2021,Recycling centre A (cars / small vans),320
16/07/2021,Recycling centre A (medium / large vans),17
16/07/2021,Recycling centre A (pedestrian / bicycle),15
17/07/2021,Recycling centre A (cars / small vans),320
17/07/2021,Recycling centre A (medium / large vans),17
17/07/2021,Recycling centre A (pedestrian / bicycle),15
20/07/2021,Recycling centre A (cars / small vans),320
20/07/2021,Recycling centre A (medium / large vans),17
20/07/2021,Recycling centre A (pedestrian / bicycle),15
21/07/2021,Recycling centre A (cars / small vans),320
21/07/2021,Recycling centre A (medium / large vans),17
21/07/2021,Recycling centre A (pedestrian / bicycle),15
22/07/2021,Recycling centre A (cars / small vans),320
22/07/2021,Recycling centre A (medium / large vans),17
22/07/2021,Recycling centre A (pedestrian / bicycle),15
23/07/2021,Recycling centre A (cars / small vans),320
23/07/2021,Recycling centre A (medium / large vans),17
23/07/2021,Recycling centre A (pedestrian / bicycle),15
24/07/2021,Recycling centre A (cars / small vans),320
24/07/2021,Recycling centre A (medium / large vans),17
24/07/2021,Recycling centre A (pedestrian / bicycle),15
27/07/2021,Recycling centre A (cars / small vans),320
27/07/2021,Recycling centre A (medium / large vans),17
27/07/2021,Recycling centre A (pedestrian / bicycle),15
28/07/2021,Recycling centre A (cars / small vans),320
28/07/2021,Recycling centre A (medium / large vans),17
28/07/2021,Recycling centre A (pedestrian / bicycle),15
29/07/2021,Recycling centre A (cars / small vans),320
29/07/2021,Recycling centre A (medium / large vans),17
29/07/2021,Recycling centre A (pedestrian / bicycle),15
30/07/2021,Recycling centre A (cars / small vans),320
30/07/2021,Recycling centre A (medium / large vans),17
30/07/2021,Recycling centre A (pedestrian / bicycle),15
31/07/2021,Recycling centre A (cars / small vans),320
31/07/2021,Recycling centre A (medium / large vans),17
31/07/2021,Recycling centre A (pedestrian / bicycle),15
03/08/2021,Recycling centre A (cars / small vans),320
03/08/2021,Recycling centre A (medium / large vans),17
03/08/2021,Recycling centre A (pedestrian / bicycle),15
04/08/2021,Recycling centre A (cars / small vans),320
04/08/2021,Recycling centre A (medium / large vans),17
04/08/2021,Recycling centre A (pedestrian / bicycle),15
05/08/2021,Recycling centre A (cars / small vans),320
05/08/2021,Recycling centre A (medium / large vans),17
05/08/2021,Recycling centre A (pedestrian / bicycle),15
06/08/2021,Recycling centre A (cars / small vans),320
06/08/2021,Recycling centre A (medium / large vans),17
06/08/2021,Recycling centre A (pedestrian / bicycle),15
07/08/2021,Recycling centre A (cars / small vans),320
07/08/2021,Recycling centre A (medium / large vans),17
07/08/2021,Recycling centre A (pedestrian / bicycle),15
10/08/2021,Recycling centre A (cars / small vans),320
10/08/2021,Recycling centre A (medium / large vans),17
10/08/2021,Recycling centre A (pedestrian / bicycle),15
11/08/2021,Recycling centre A (cars / small vans),320
11/08/2021,Recycling centre A (medium / large vans),17
11/08/2021,Recycling centre A (pedestrian / bicycle),15
12/08/2021,Recycling centre A (cars / small vans),320
12/08/2021,Recycling centre A (medium / large vans),17
12/08/2021,Recycling centre A (pedestrian / bicycle),15
13/08/2021,Recycling centre A (cars / small vans),320
13/08/2021,Recycling centre A (medium / large vans),17
13/08/2021,Recycling centre A (pedestrian / bicycle),15
14/08/2021,Recycling centre A (cars / small vans),320
14/08/2021,Recycling centre A (medium / large vans),17
14/08/2021,Recycling centre A (pedestrian / bicycle),15
17/08/2021,Recycling centre A (cars / small vans),320
17/08/2021,Recycling centre A (medium / large vans),17
17/08/2021,Recycling centre A (pedestrian / bicycle),15
18/08/2021,Recycling centre A (cars / small vans),320
18/08/2021,Recycling centre A (medium / large vans),17
18/08/2021,Recycling centre A (pedestrian / bicycle),15
19/08/2021,Recycling centre A (cars / small vans),320
19/08/2021,Recycling centre A (medium / large vans),17
19/08/2021,Recycling centre A (pedestrian / bicycle),15
20/08/2021,Recycling centre A (cars / small vans),320
20/08/2021,Recycling centre A (medium / large vans),17
20/08/2021,Recycling centre A (pedestrian / bicycle),15
21/08/2021,Recycling centre A (cars / small vans),320
21/08/2021,Recycling centre A (medium / large vans),17
21/08/2021,Recycling centre A (pedestrian / bicycle),15
24/08/2021,Recycling centre A (cars / small vans),320
24/08/2021,Recycling centre A (medium / large vans),17
24/08/2021,Recycling centre A (pedestrian / bicycle),15
25/08/2021,Recycling centre A (cars / small vans),320
25/08/2021,Recycling centre A (medium / large vans),17
25/08/2021,Recycling centre A (pedestrian / bicycle),15
26/08/2021,Recycling centre A (cars / small vans),320
26/08/2021,Recycling centre A (medium / large vans),17
26/08/2021,Recycling centre A (pedestrian / bicycle),15
27/08/2021,Recycling centre A (cars / small vans),320
27/08/2021,Recycling centre A (medium / large vans),17
27/08/2021,Recycling centre A (pedestrian / bicycle),15
28/08/2021,Recycling centre A (cars / small vans),320
28/08/2021,Recycling centre A (medium / large vans),17
28/08/2021,Recycling centre A (pedestrian / bicycle),15
31/08/2021,Recycling centre A (cars / small vans),320
31/08/2021,Recycling centre A (medium / large vans),17
31/08/2021,Recycling centre A (pedestrian / bicycle),15
01/09/2021,Recycling centre A (cars / small vans),320
01/09/2021,Recycling centre A (medium / large vans),17
01/09/2021,Recycling centre A (pedestrian / bicycle),15
02/09/2021,Recycling centre A (cars / small vans),320
02/09/2021,Recycling centre A (medium / large vans),17
02/09/2021,Recycling centre A (pedestrian / bicycle),15
03/09/2021,Recycling centre A (cars / small vans),320
03/09/2021,Recycling centre A (medium / large vans),17
03/09/2021,Recycling centre A (pedestrian / bicycle),15
04/09/2021,Recycling centre A (cars / small vans),320
04/09/2021,Recycling centre A (medium / large vans),17
04/09/2021,Recycling centre A (pedestrian / bicycle),15
07/09/2021,Recycling centre A (cars / small vans),320
07/09/2021,Recycling centre A (medium / large vans),17
07/09/2021,Recycling centre A (pedestrian / bicycle),15
08/09/2021,Recycling centre A (cars / small vans),320
08/09/2021,Recycling centre A (medium / large vans),17
08/09/2021,Recycling centre A (pedestrian / bicycle),15
09/09/2021,Recycling centre A (cars / small vans),320
09/09/2021,Recycling centre A (medium / large vans),17
09/09/2021,Recycling centre A (pedestrian / bicycle),15
10/09/2021,Recycling centre A (cars / small vans),320
10/09/2021,Recycling centre A (medium / large vans),17
10/09/2021,Recycling centre A (pedestrian / bicycle),15
11/09/2021,Recycling centre A (cars / small vans),320
11/09/2021,Recycling centre A (medium / large vans),17
11/09/2021,Recycling centre A (pedestrian / bicycle),15
14/09/2021,Recycling centre A (cars / small vans),320
14/09/2021,Recycling centre A (medium / large vans),17
14/09/2021,Recycling centre A (pedestrian / bicycle),15
15/09/2021,Recycling centre A (cars / small vans),320
15/09/2021,Recycling centre A (medium / large vans),17
15/09/2021,Recycling centre A (pedestrian / bicycle),15
16/09/2021,Recycling centre A (cars / small vans),320
16/09/2021,Recycling centre A (medium / large vans),17
16/09/2021,Recycling centre A (pedestrian / bicycle),15
17/09/2021,Recycling centre A (cars / small vans),320
17/09/2021,Recycling centre A (medium / large vans),17
17/09/2021,Recycling centre A (pedestrian / bicycle),15
18/09/2021,Recycling centre A (cars / small vans),320
18/09/2021,Recycling centre A (medium / large vans),17
18/09/2021,Recycling centre A (pedestrian / bicycle),15
21/09/2021,Recycling centre A (cars / small vans),320
21/09/2021,Recycling centre A (medium / large vans),17
21/09/2021,Recycling centre A (pedestrian / bicycle),15
22/09/2021,Recycling centre A (cars / small vans),320
22/09/2021,Recycling centre A (medium / large vans),17
22/09/2021,Recycling centre A (pedestrian / bicycle),15
23/09/2021,Recycling centre A (cars / small vans),320
23/09/2021,Recycling centre A (medium / large vans),17
23/09/2021,Recycling centre A (pedestrian / bicycle),15
24/09/2021,Recycling centre A (cars / small vans),320
24/09/2021,Recycling centre A (medium / large vans),17
24/09/2021,Recycling centre A (pedestrian / bicycle),15
25/09/2021,Recycling centre A (cars / small vans),320
25/09/2021,Recycling centre A (medium / large vans),17
25/09/2021,Recycling centre A (pedestrian / bicycle),15
28/09/2021,Recycling centre A (cars / small vans),320
28/09/2021,Recycling centre A (medium / large vans),17
28/09/2021,Recycling centre A (pedestrian / bicycle),15
29/09/2021,Recycling centre A (cars / small vans),320
29/09/2021,Recycling centre A (medium / large vans),17
29/09/2021,Recycling centre A (pedestrian / bicycle),15
30/09/2021,Recycling centre A (cars / small vans),320
30/09/2021,Recycling centre A (medium / large vans),17
30/09/2021,Recycling centre A (pedestrian / bicycle),15
01/10/2021,Recycling centre A (cars / small vans),320
01/10/2021,Recycling centre A (medium / large vans),17
01/10/2021,Recycling centre A (pedestrian / bicycle),15
02/10/2021,Recycling centre A (cars / small vans),320
02/10/2021,Recycling centre A (medium / large vans),17
02/10/2021,Recycling centre A (pedestrian / bicycle),15
05/10/2021,Recycling centre A (cars / small vans),320
05/10/2021,Recycling centre A (medium / large vans),17
05/10/2021,Recycling centre A (pedestrian / bicycle),15
06/10/2021,Recycling centre A (cars / small vans),320
06/10/2021,Recycling centre A (medium / large vans),17
06/10/2021,Recycling centre A (pedestrian / bicycle),15
07/10/2021,Recycling centre A (cars / small vans),320
07/10/2021,Recycling centre A (medium / large vans),17
07/10/2021,Recycling centre A (pedestrian / bicycle),15
08/10/2021,Recycling centre A (cars / small vans),320
08/10/2021,Recycling centre A (medium / large vans),17
08/10/2021,Recycling centre A (pedestrian / bicycle),15
09/10/2021,Recycling centre A (cars / small vans),320
09/10/2021,Recycling centre A (medium / large vans),17
09/10/2021,Recycling centre A (pedestrian / bicycle),15
12/10/2021,Recycling centre A (cars / small vans),320
12/10/2021,Recycling centre A (medium / large vans),17
12/10/2021,Recycling centre A (pedestrian / bicycle),15
13/10/2021,Recycling centre A (cars / small vans),320
13/10/2021,Recycling centre A (medium / large vans),17
13/10/2021,Recycling centre A (pedestrian / bicycle),15
14/10/2021,Recycling centre A (cars / small vans),320
14/10/2021,Recycling centre A (medium / large vans),17
14/10/2021,Recycling centre A (pedestrian / bicycle),15
15/10/2021,Recycling centre A (cars / small vans),320
15/10/2021,Recycling centre A (medium / large vans),17
15/10/2021,Recycling centre A (pedestrian / bicycle),15
16/10/2021,Recycling centre A (cars / small vans),320
16/10/2021,Recycling centre A (medium / large vans),17
16/10/2021,Recycling centre A (pedestrian / bicycle),15
19/10/2021,Recycling centre A (cars / small vans),320
19/10/2021,Recycling centre A (medium / large vans),17
19/10/2021,Recycling centre A (pedestrian / bicycle),15
20/10/2021,Recycling centre A (cars / small vans),320
20/10/2021,Recycling centre A (medium / large vans),17
20/10/2021,Recycling centre A (pedestrian / bicycle),15
21/10/2021,Recycling centre A (cars / small vans),320
21/10/2021,Recycling centre A (medium / large vans),17
21/10/2021,Recycling centre A (pedestrian / bicycle),15
22/10/2021,Recycling centre A (cars / small vans),320
